date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:55:16	24132/24132	---M-Z	200	added ('OK')	text/html	etag:%22b3a4b39-5e44-5abe73960e600-gzip%22	http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html	(from )
16:55:20	172/172	---MC-	200	added ('OK')	text/plain	date:Mon,%2010%20Aug%202020%2011:25:17%20GMT	http://gambolthemes.net/robots.txt		(from )
16:55:21	1521/1521	---M--	200	added ('OK')	image/png	etag:%22b3a4b05-5f1-5a3af9f411480%22	http://gambolthemes.net/html-items/cursus_demo_f12/images/fav.png	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/images/fav.png	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:55:24	4340/4340	---M--	200	added ('OK')	text/css	etag:%22b3a4a08-10f4-5a2ba0cec9000%22	http://gambolthemes.net/html-items/cursus_demo_f12/css/vertical-responsive-menu1.min.css	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/css/vertical-responsive-menu1.min.css	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:55:28	68597/68597	---M--	200	added ('OK')	text/css	etag:%22b3a4e8a-10bf5-5952143f2d380%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/css/unicons.css	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/unicons-2.0.1/css/unicons.css	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:55:30	73216/73216	---M--	200	added ('OK')	text/css	etag:%22b3a49fd-11e00-5abe730701480%22	http://gambolthemes.net/html-items/cursus_demo_f12/css/instructor-dashboard.css	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/css/instructor-dashboard.css	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:55:32	7133/7133	---M--	200	added ('OK')	text/css	etag:%22b3a49fe-1bdd-5a3e13abd3200%22	http://gambolthemes.net/html-items/cursus_demo_f12/css/instructor-responsive.css	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/css/instructor-responsive.css	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:55:37	49208/49208	---M--	200	added ('OK')	text/css	etag:%22b3a4a01-c038-5abe98c78a600%22	http://gambolthemes.net/html-items/cursus_demo_f12/css/night-mode.css	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/css/night-mode.css	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:55:39	4733/4733	---M--	200	added ('OK')	text/css	etag:%22b3a4dcc-127d-5958b72688b00%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/OwlCarousel/assets/owl.carousel.css	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/OwlCarousel/assets/owl.carousel.css	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:55:40	55967/55967	---M--	200	added ('OK')	text/css	etag:%22b3a4bdc-da9f-58a8b073bcc80%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/fontawesome-free/css/all.min.css	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/fontawesome-free/css/all.min.css	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:55:41	1013/1013	---M--	200	added ('OK')	text/css	etag:%22b3a4dcf-3f5-56a4c2f77ea80%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/OwlCarousel/assets/owl.theme.default.min.css	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/OwlCarousel/assets/owl.theme.default.min.css	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:55:46	155758/155758	---M--	200	added ('OK')	text/css	etag:%22b3a4b81-2606e-581d322792300%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/bootstrap/css/bootstrap.min.css	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/bootstrap/css/bootstrap.min.css	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:55:54	73016/73016	---M-Z	200	added ('OK')	text/html	etag:%22b3a4b35-11d38-5ab8743ae8a00-gzip%22	http://gambolthemes.net/html-items/cursus_demo_f12/index.html	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/index.html	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:55:56	628518/628518	---M--	200	added ('OK')	text/css	etag:%22b3a4e6b-99726-598a98c485980%22	http://gambolthemes.net/html-items/cursus_demo_f12/vendor/semantic/semantic.min.css	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/vendor/semantic/semantic.min.css	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:55:56	4867/4867	---M--	200	added ('OK')	image/svg+xml	etag:%22b3a4b24-1303-5a3af5332dd80%22	http://gambolthemes.net/html-items/cursus_demo_f12/images/logo.svg	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/images/logo.svg	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:55:59	4923/4923	---M--	200	added ('OK')	image/svg+xml	etag:%22b3a4afe-133b-5a3af7d479200%22	http://gambolthemes.net/html-items/cursus_demo_f12/images/ct_logo.svg	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/images/ct_logo.svg	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:02	41034/41034	---M-Z	200	added ('OK')	text/html	etag:%22b3a49fa-a04a-5abe7cefc7580-gzip%22	http://gambolthemes.net/html-items/cursus_demo_f12/create_new_course.html	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/create_new_course.html	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:05	13284/13284	---M-Z	200	added ('OK')	text/html	etag:%22b3a4b70-33e4-5abe98608b300-gzip%22	http://gambolthemes.net/html-items/cursus_demo_f12/shopping_cart.html	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/shopping_cart.html	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:05	4271/4271	---M--	200	added ('OK')	image/jpeg	etag:%22b3a4b1b-10af-59cabfc318e00%22	http://gambolthemes.net/html-items/cursus_demo_f12/images/left-imgs/img-6.jpg	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/images/left-imgs/img-6.jpg	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:08	26292/26292	---M--	200	added ('OK')	image/jpeg	etag:%22b3a4b1a-66b4-59cabfa2ac180%22	http://gambolthemes.net/html-items/cursus_demo_f12/images/left-imgs/img-5.jpg	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/images/left-imgs/img-5.jpg	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:08	4605/4605	---M--	200	added ('OK')	image/jpeg	etag:%22b3a4b1d-11fd-59cac033a1780%22	http://gambolthemes.net/html-items/cursus_demo_f12/images/left-imgs/img-8.jpg	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/images/left-imgs/img-8.jpg	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:10	22812/22812	---M-Z	200	added ('OK')	text/html	etag:%22b3a4b3b-591c-5abe7384e3d80-gzip%22	http://gambolthemes.net/html-items/cursus_demo_f12/instructor_messages.html	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/instructor_messages.html	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:12	5273/5273	---M--	200	added ('OK')	image/jpeg	etag:%22b3a4b16-1499-59cabf303b380%22	http://gambolthemes.net/html-items/cursus_demo_f12/images/left-imgs/img-2.jpg	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/images/left-imgs/img-2.jpg	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:13	22227/22227	---M--	200	added ('OK')	image/jpeg	etag:%22b3a4b0b-56d3-59cabf082d500%22	http://gambolthemes.net/html-items/cursus_demo_f12/images/left-imgs/img-1.jpg	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/images/left-imgs/img-1.jpg	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:15	5210/5210	---M--	200	added ('OK')	image/jpeg	etag:%22b3a4b1e-145a-59cb11fe81080%22	http://gambolthemes.net/html-items/cursus_demo_f12/images/left-imgs/img-9.jpg	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/images/left-imgs/img-9.jpg	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:16	15298/15298	---M-Z	200	added ('OK')	text/html	etag:%22b3a4b3d-3bc2-5abe736fe8c00-gzip%22	http://gambolthemes.net/html-items/cursus_demo_f12/instructor_notifications.html	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/instructor_notifications.html	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:18	3703/3703	---M--	200	added ('OK')	image/jpeg	etag:%22b3a4b07-e77-59caad4326880%22	http://gambolthemes.net/html-items/cursus_demo_f12/images/hd_dp.jpg	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/images/hd_dp.jpg	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:19	59047/59047	---M-Z	200	added ('OK')	text/html	etag:%22b3a4b64-e6a7-5abe7e50a3600-gzip%22	http://gambolthemes.net/html-items/cursus_demo_f12/my_instructor_profile_view.html	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/my_instructor_profile_view.html	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:21	31379/31379	---M-Z	200	added ('OK')	text/html	etag:%22b3a4b63-7a93-5abe7e5844800-gzip%22	http://gambolthemes.net/html-items/cursus_demo_f12/membership.html	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/membership.html	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
